,X01,X02,X03,X04,X05,X06,X07,X08
1,7.048801435,NA,0.889979563,111,7.997802538,3.195110503,1.1384402,0.053736659
2,-3.959917684,NA,0.91034806,111,4.195679021,1.67407938,0.423845595,12.52877319
3,21.19222122,NA,0.713349777,111,11.00919802,4.399306232,0.041528847,14.35041541
4,14.99108778,NA,0.379113731,111,8.796137867,3.514164658,0.419151519,19.64735249
5,-26.62958004,NA,0.542144027,111,0.394519259,0.153714774,0.105838161,0.622133645
6,3.356791287,NA,0.91584579,111,7.905126503,3.157946886,0.079126403,1.684764049
7,-38.42996402,NA,0.601565306,111,4.070414112,1.624026192,0.111614138,52.50736307
8,6.949746205,NA,0.864380921,111,10.42554129,4.166009309,0.828271178,0.724244933
9,-0.769316256,NA,0.858729766,111,12.39431378,4.953372592,0.262492664,165.2799449
10,8.893417232,NA,0.110440715,111,6.685412246,2.669972565,0.653582522,0.400646167
11,7.516553097,NA,0.805191966,111,9.760092611,3.89982269,0.18502646,2.85985311
12,9.988231961,NA,0.718261429,111,7.847893831,3.135088214,0.195519349,196.1458275
13,-11.99052414,NA,0.518072186,111,7.91205678,3.16060423,0.152796934,2.277895747
14,12.47155301,NA,0.632105029,111,4.66036329,1.859871801,0.165897955,0.030425349
15,11.37877424,NA,0.873434182,111,6.799266115,2.715594821,0.592129765,1.20009632
16,-17.09099036,NA,0.374636425,111,7.820823624,3.124246722,0.462384954,38.87232651
17,23.38378393,NA,0.535286934,111,5.856709399,2.338457743,0.142690518,0.02234067
18,-5.79271032,NA,0.570022252,111,5.337822082,2.130932703,0.532979792,0.157604094
19,-22.51513624,NA,0.651431212,111,9.567525918,3.822644381,0.522697232,33.45148111
20,1.951185572,NA,0.977777859,111,11.76641294,4.70251993,0.221238973,21.90929085
21,-10.24979564,NA,0.722974787,111,7.244964084,2.893648946,0.05665722,0.174993331
22,-1.839171241,NA,0.642821137,111,9.348857558,3.735505579,0.774306552,420.2032309
23,3.336183171,NA,0.9843941,111,5.625813847,2.246057067,0.149542802,137.2738823
24,-21.16075001,NA,0.818025229,111,9.091431965,3.632287169,0.069954015,1.154041672
25,-3.928239296,NA,0.935248274,111,5.3177411,2.122831688,0.048774146,0.65964588
26,7.446766709,NA,0.350318284,111,13.5859772,5.430373762,0.124193014,84.20358029
27,-19.63372808,NA,0.866689075,111,10.67363696,4.265134281,0.343781648,4.452684136
28,4.231736407,NA,0.426053167,111,12.90826684,5.158933598,0.20715822,0.167695632
29,1.246753351,NA,0.334457669,111,4.302230428,1.716842205,0.595738804,0.065705437
30,7.140350113,NA,0.749685458,111,5.844117592,2.333472676,0.008337128,0.6424288
31,-1.002837997,NA,0.686996764,111,11.41669092,4.562584904,0.210406342,0.238291389
32,-10.2813406,NA,0.863741345,111,8.57332003,3.425297476,0.006615591,5.687996034
33,10.33512929,NA,0.839330787,111,4.437203803,1.770726343,0.072632112,2.166968121
34,-13.30252463,NA,0.749416136,111,6.696569438,2.674354756,0.468569639,2.835872409
35,3.970674522,NA,0.685237415,111,9.039529459,3.611727428,0.42150799,0.031442501
36,10.03766102,NA,0.805557963,111,7.519047427,3.003252062,0.058321707,1.876080572
37,-12.55228376,NA,0.970138753,111,8.639907627,3.451788381,0.138768919,1.101066535
38,7.414951479,NA,0.780316461,111,11.38543592,4.549984573,0.54479091,89.03528408
39,-16.78888125,NA,0.640477358,111,10.61071842,4.239890301,0.319472208,5.422118291
40,17.90275781,NA,0.709509644,111,6.076436353,2.426445511,0.011020205,147.3839752
41,-25.34137934,NA,0.737145456,111,12.46677898,4.98248355,0.245909709,0.312409061
42,-2.435773235,NA,0.539654509,111,9.424789771,3.765562065,0.375505512,33.75333661
43,32.57963458,NA,0.925543816,111,9.747003817,3.894504669,0.290580749,0.064217901
44,4.925479842,NA,0.83630322,111,7.874260821,3.145508516,0.352776344,0.072476754
45,1.562639922,NA,0.967702098,111,9.101627202,3.636375535,0.274646085,1.576220963
46,8.902568918,NA,0.707752985,111,10.32936874,4.127737867,0.348684434,12.41621748
47,-10.28314271,NA,0.294649698,111,9.332151048,3.728598369,0.147764978,3.039261558
48,-14.02984752,NA,0.523550763,111,9.300276838,3.716099151,0.155360499,22.89963244
49,-1.975484051,NA,0.948221832,111,5.493403442,2.193058812,0.763859605,183.0810593
50,-0.877872106,NA,0.805615191,111,8.1651826,3.261968374,0.261510524,1.890796854
51,-9.116713702,NA,0.987451956,111,3.882616338,1.548957754,0.432949786,0.13399058
52,-3.613550748,NA,0.822467537,111,10.56072979,4.220192457,0.054072,0.22522818
53,19.69432091,NA,0.857037812,111,8.410158311,3.359810381,0.040102045,14.3184622
54,13.97515183,NA,0.985729299,111,8.665794886,3.462055777,0.071275381,0.018813645
55,2.39807077,NA,0.547983021,111,5.626958075,2.246591184,0.304876393,2.981834682
56,-0.090872699,NA,0.79328718,111,7.243756185,2.893224044,0.035358941,5.471249282
57,9.278426906,NA,0.673972046,111,6.109168781,2.439409179,0.019792534,0.968940576
58,4.842737802,NA,0.873857291,111,6.343408284,2.533238059,0.070368598,12.75841775
59,9.740140569,NA,0.66341315,111,10.84997427,4.335914158,1.46420103,0.064776612
60,-5.506027262,NA,0.809918339,111,11.08072341,4.428017162,0.058118595,194.4434838
61,-8.954004171,NA,0.926650756,111,5.465989183,2.182386196,0.324881557,3.72595597
62,6.664749774,NA,0.830723822,111,9.861383782,3.940303154,0.24079184,0.002778658
63,1.162004483,NA,0.662044424,111,3.303058051,1.31686461,0.121403076,4.234527821
64,6.658987298,NA,0.92582085,111,6.002386171,2.396676936,0.080889874,10.52618358
65,1.328885858,NA,0.99814919,111,5.69377051,2.273477576,0.061182513,1343.107803
66,4.681310959,NA,0.776447249,111,9.73139659,3.888417954,0.33150465,13.36179291
67,-9.696401194,NA,0.840280205,111,6.523410976,2.605270211,0.247157003,19.93136116
68,2.073437546,NA,0.467767026,111,8.440647003,3.371988462,0.067210295,5.130258159
69,8.678726302,NA,0.863249171,111,7.903996758,3.157572408,0.026964806,538.3222352
70,13.86641451,NA,0.325999968,111,7.698536755,3.075146178,0.288550677,19.841602
71,1.646973188,NA,0.805529723,111,6.787270652,2.710881208,1.317305994,2.629383727
72,-13.42475432,NA,0.511622991,111,6.958795749,2.779140629,0.098858789,212303.2503
73,3.97507142,NA,0.593010053,111,2.96424071,1.181408174,0.002210428,0.138033055
74,4.452159262,NA,0.755702253,111,2.368320799,0.943193344,0.10605937,143.80146
75,18.32765034,NA,0.506505,111,3.047309179,1.214833163,0.065284967,96.92314845
76,19.32090754,NA,0.527208909,111,0.896826096,0.354384338,0.192689315,1.54432345
77,9.955148139,NA,0.936388613,111,5.529655042,2.20763134,0.265018421,1.015139056
78,8.512729812,NA,0.767431405,111,7.406180242,2.958177836,0.03197121,307.5664683
79,12.22827705,NA,0.698639853,111,7.024367128,2.805473099,0.066735039,0.406111324
80,10.89071718,NA,0.84206986,111,9.792485877,3.912874675,0.091517524,38.39957705
81,14.42384979,NA,0.966980773,111,7.231519976,2.888504054,0.264465809,11.1457671
82,22.89026031,NA,0.922839291,111,4.753343299,1.897135912,0.754505759,139.6719532
83,-10.60820841,NA,0.558875761,111,6.234854225,2.489717621,0.095816171,0.134334787
84,12.56554372,NA,0.555177519,111,8.923013481,3.565151633,0.071588068,0.014320113
85,-0.893475993,NA,0.946029828,111,3.133133318,1.248865202,0.073686999,67.93891658
86,9.16727317,NA,0.956416086,111,6.781019509,2.70834127,0.015253307,2.086440143
87,7.271712738,NA,0.956580339,111,6.642901041,2.653155045,0.993842033,3.487909591
88,-5.192886844,NA,0.829120918,111,10.65591659,4.25802177,0.477056773,100.6078129
89,18.66547291,NA,0.743239337,111,9.996548906,3.994569883,0.042260032,88.59653202
90,34.26134336,-496.7809712,0.831289398,111,10.77437976,4.305523737,0.339964994,6.736468239
91,9.449083607,NA,0.99467666,111,9.563531447,3.821371977,0.553226695,0.789726464
92,-1.874925996,NA,0.682437521,111,7.617060677,3.042435378,1.005516925,76.42924009
93,-9.026699288,NA,0.763899127,111,6.675564243,2.665886862,0.242064582,2.992911861
94,-18.23682645,NA,0.57544367,111,6.843598506,2.733148105,0.171208144,7.052521686
95,-3.878206832,NA,0.67364433,111,4.399955556,1.75596603,0.095936023,0.073624536
96,22.22930409,NA,0.866680991,111,11.72015266,4.683828653,0.509890301,31.6962738
97,-20.74236404,NA,0.360258584,111,6.700346656,2.675975812,0.236962576,0.124975748
98,0.886615429,NA,0.864132213,111,7.533755793,3.009460573,0.070016304,23.24125877
99,8.502351837,NA,0.660765197,111,8.767014069,3.502453437,0.233567114,0.297330299
100,11.01299701,NA,0.822843338,111,7.340545923,2.931844213,0.013364874,1.147381525
101,10.53817408,NA,0.763052231,111,12.48351337,4.989321413,0.258681801,448.1131448
102,3.147716578,NA,0.6873532,111,4.022902789,1.605028565,0.104884381,0.11291634
103,15.00741609,NA,0.874227414,111,7.131849093,2.848626349,0.185511276,1.457974613
104,-2.350916922,NA,0.883372987,111,3.990438827,1.592013254,0.069115456,0.012235678
105,-0.331322666,NA,0.684780015,111,7.813293443,3.12094022,0.216148247,0.02243645
106,-0.896831965,NA,0.917303225,111,11.32695928,4.526411194,0.018073934,1.690810492
107,10.56976595,NA,0.763919974,111,12.41836467,4.963256042,0.212093953,111.2137241
108,-0.826975137,NA,0.6351416,111,10.43283413,4.16895813,0.325415438,0.104493965
109,-15.00088038,NA,0.667299812,111,8.238808578,3.291513605,0.387252596,5.155704209
110,-7.838970309,NA,0.608378385,111,5.651305729,2.256282203,0.150650173,1716.094208
111,-15.0244276,NA,0.861955364,111,6.796248386,2.714184997,0.334205378,67.43887578
112,1.17147476,NA,0.828421056,111,6.985201347,2.789931406,0.033999119,3.051530502
113,9.217971302,NA,0.746616818,111,7.907889949,3.158792925,0.085415086,0.758249375
114,-10.87874756,NA,0.76470622,111,5.928091382,2.367088022,0.470229572,22.70990008
115,-16.12347528,NA,0.474826745,111,7.338739329,2.931493309,1.073795867,0.893351237
116,15.22997788,NA,0.89659297,111,9.465236692,3.781893789,0.5447478,0.001301741
117,-14.95681408,NA,0.975671138,111,6.040208684,2.411888053,0.106400675,0.06898428
118,-9.414882118,NA,0.771209139,111,9.81227143,3.920615906,0.05102884,194.3267739
119,5.343105418,NA,0.700999518,111,10.55559437,4.217995768,0.768052911,143.4008902
120,11.44658645,NA,0.838050755,111,3.61331922,1.441159122,0.181848352,858.7684893
